datetime,market,open,high,low,close,vol
2022-03-08 04:30:00,SOL/USDT,82.27,82.27,80.0,80.34,190635.9
2022-03-08 05:00:00,SOL/USDT,80.34,82.07,79.92,81.84,114309.14
2022-03-08 05:30:00,SOL/USDT,81.84,81.84,81.0,81.17,55329.02
2022-03-08 06:00:00,SOL/USDT,81.17,82.23,80.81,81.03,74449.83
2022-03-08 06:30:00,SOL/USDT,81.04,81.56,80.77,81.17,47269.67
2022-03-08 07:00:00,SOL/USDT,81.18,82.45,81.12,82.23,43542.47
2022-03-08 07:30:00,SOL/USDT,82.23,82.97,81.86,82.25,38512.28
2022-03-08 08:00:00,SOL/USDT,82.26,82.64,82.02,82.47,50109.52
2022-03-08 08:30:00,SOL/USDT,82.47,82.97,81.66,81.66,68299.2
2022-03-08 09:00:00,SOL/USDT,81.65,82.56,81.3,82.29,68618.55
2022-03-08 09:30:00,SOL/USDT,82.29,82.75,82.26,82.4,32734.33
2022-03-08 10:00:00,SOL/USDT,82.41,83.0,81.87,82.65,39932.93
2022-03-08 10:30:00,SOL/USDT,82.64,83.01,82.24,82.65,29289.86
2022-03-08 11:00:00,SOL/USDT,82.66,83.77,82.43,83.34,46309.48
2022-03-08 11:30:00,SOL/USDT,83.32,84.62,82.87,83.69,74898.41
2022-03-08 12:00:00,SOL/USDT,83.68,83.99,83.29,83.51,37528.0
2022-03-08 12:30:00,SOL/USDT,83.52,83.57,83.08,83.48,20469.56
2022-03-08 13:00:00,SOL/USDT,83.48,84.18,83.37,83.38,42310.2
2022-03-08 13:30:00,SOL/USDT,83.37,83.82,83.19,83.27,26381.82
2022-03-08 14:00:00,SOL/USDT,83.27,83.64,82.85,82.93,46788.15
2022-03-08 14:30:00,SOL/USDT,82.94,83.65,82.78,83.54,36052.87
2022-03-08 15:00:00,SOL/USDT,83.54,84.06,82.65,82.84,53913.31
2022-03-08 15:30:00,SOL/USDT,82.85,83.16,82.5,82.84,54762.76
2022-03-08 16:00:00,SOL/USDT,82.85,83.17,82.53,83.16,40729.2
2022-03-08 16:30:00,SOL/USDT,83.11,83.75,82.93,83.03,42024.51
2022-03-08 17:00:00,SOL/USDT,83.03,84.29,82.64,84.14,73503.97
2022-03-08 17:30:00,SOL/USDT,84.14,84.95,83.79,84.11,74654.07
2022-03-08 18:00:00,SOL/USDT,84.1,84.45,83.56,83.83,49016.74
2022-03-08 18:30:00,SOL/USDT,83.82,84.34,83.63,84.06,44678.98
2022-03-08 19:00:00,SOL/USDT,84.07,84.25,83.22,83.57,56797.23
2022-03-08 19:30:00,SOL/USDT,83.57,84.47,83.56,84.18,39216.37
2022-03-08 20:00:00,SOL/USDT,84.18,84.2,83.45,83.81,36713.11
2022-03-08 20:30:00,SOL/USDT,83.8,84.1,83.16,83.92,39790.5
2022-03-08 21:00:00,SOL/USDT,83.92,84.58,83.8,83.8,58121.32
2022-03-08 21:30:00,SOL/USDT,83.79,84.17,83.59,84.07,42803.73
2022-03-08 22:00:00,SOL/USDT,84.08,84.5,83.27,83.8,43922.83
2022-03-08 22:30:00,SOL/USDT,83.79,84.27,83.6,83.98,34703.32
2022-03-08 23:00:00,SOL/USDT,83.98,84.39,83.48,83.77,45765.05
2022-03-08 23:30:00,SOL/USDT,83.79,84.32,83.26,83.6,101195.06
2022-03-09 00:00:00,SOL/USDT,83.6,83.8,81.37,82.78,115551.36
2022-03-09 00:30:00,SOL/USDT,82.78,82.99,81.76,82.77,79403.18
2022-03-09 01:00:00,SOL/USDT,82.78,83.3,81.88,82.08,62413.32
2022-03-09 01:30:00,SOL/USDT,82.09,82.13,81.34,81.72,82395.79
