datetime,market,open,high,low,close,vol
2022-03-09 19:30:00,XRP/USDT,0.7524,0.7539,0.7522,0.7536,2271419.0
2022-03-09 19:45:00,XRP/USDT,0.7535,0.755,0.753,0.7546,2872124.0
2022-03-09 20:00:00,XRP/USDT,0.7545,0.7557,0.752,0.7534,4544845.0
2022-03-09 20:15:00,XRP/USDT,0.7534,0.7548,0.7529,0.7532,4258958.0
2022-03-09 20:30:00,XRP/USDT,0.7532,0.7542,0.7519,0.7522,6049950.0
2022-03-09 20:45:00,XRP/USDT,0.7522,0.7527,0.751,0.7511,4007067.0
2022-03-09 21:00:00,XRP/USDT,0.7511,0.7551,0.7511,0.7545,3179957.0
2022-03-09 21:15:00,XRP/USDT,0.7545,0.759,0.7538,0.7587,6570733.0
2022-03-09 21:30:00,XRP/USDT,0.7588,0.7605,0.7446,0.7476,12420366.0
2022-03-09 21:45:00,XRP/USDT,0.7476,0.7511,0.746,0.7496,5563859.0
2022-03-09 22:00:00,XRP/USDT,0.7495,0.7507,0.7461,0.7498,3939427.0
2022-03-09 22:15:00,XRP/USDT,0.7497,0.7535,0.7487,0.7508,3454596.0
2022-03-09 22:30:00,XRP/USDT,0.7508,0.7522,0.7489,0.7491,2813931.0
2022-03-09 22:45:00,XRP/USDT,0.749,0.7507,0.7455,0.7495,4345439.0
2022-03-09 23:00:00,XRP/USDT,0.7495,0.7552,0.7494,0.7521,6961773.0
2022-03-09 23:15:00,XRP/USDT,0.7521,0.7547,0.752,0.7537,2359800.0
2022-03-09 23:30:00,XRP/USDT,0.7538,0.7583,0.7518,0.7567,5805214.0
2022-03-09 23:45:00,XRP/USDT,0.7567,0.7583,0.7538,0.7557,4137912.0
2022-03-10 00:00:00,XRP/USDT,0.7557,0.7572,0.7547,0.7562,2953198.0
2022-03-10 00:15:00,XRP/USDT,0.7562,0.7574,0.754,0.7562,3359586.0
2022-03-10 00:30:00,XRP/USDT,0.7562,0.769,0.7558,0.7648,8541025.0
2022-03-10 00:45:00,XRP/USDT,0.7648,0.7688,0.7627,0.7668,8283617.0
2022-03-10 01:00:00,XRP/USDT,0.7669,0.775,0.7651,0.7661,12624287.0
2022-03-10 01:15:00,XRP/USDT,0.7661,0.7672,0.7646,0.7648,5231970.0
2022-03-10 01:30:00,XRP/USDT,0.7648,0.7672,0.7629,0.7646,4042068.0
2022-03-10 01:45:00,XRP/USDT,0.7647,0.7648,0.7602,0.7621,3065602.0
2022-03-10 02:00:00,XRP/USDT,0.762,0.7682,0.7615,0.7682,3357475.0
2022-03-10 02:15:00,XRP/USDT,0.7682,0.7684,0.7634,0.7656,3101556.0
2022-03-10 02:30:00,XRP/USDT,0.7656,0.7704,0.7638,0.7684,3460995.0
2022-03-10 02:45:00,XRP/USDT,0.7684,0.7714,0.7681,0.7703,2613266.0
2022-03-10 03:00:00,XRP/USDT,0.7702,0.7703,0.7655,0.7657,3263856.0
2022-03-10 03:15:00,XRP/USDT,0.7656,0.7664,0.7603,0.7625,4188780.0
2022-03-10 03:30:00,XRP/USDT,0.7625,0.7637,0.7581,0.7596,6015945.0
2022-03-10 03:45:00,XRP/USDT,0.7597,0.7624,0.7584,0.7616,3213425.0
2022-03-10 04:00:00,XRP/USDT,0.7616,0.7628,0.759,0.7592,3100078.0
2022-03-10 04:15:00,XRP/USDT,0.7592,0.7609,0.7563,0.76,4584350.0
2022-03-10 04:30:00,XRP/USDT,0.7601,0.7638,0.7597,0.763,3173936.0
2022-03-10 04:45:00,XRP/USDT,0.763,0.765,0.7626,0.7627,2279536.0
2022-03-10 05:00:00,XRP/USDT,0.7626,0.7655,0.7625,0.763,2595823.0
2022-03-10 05:15:00,XRP/USDT,0.763,0.7638,0.762,0.7629,2287807.0
2022-03-10 05:30:00,XRP/USDT,0.7629,0.763,0.7589,0.7593,2258843.0
2022-03-10 05:45:00,XRP/USDT,0.7594,0.7619,0.7573,0.7615,2600419.0
2022-03-10 06:00:00,XRP/USDT,0.7616,0.7627,0.7593,0.7603,2123888.0
2022-03-10 06:15:00,XRP/USDT,0.7602,0.7621,0.7592,0.7619,1738750.0
2022-03-10 06:30:00,XRP/USDT,0.762,0.7629,0.7593,0.7615,1811181.0
2022-03-10 06:45:00,XRP/USDT,0.7614,0.7632,0.7597,0.7624,3520706.0
2022-03-10 07:00:00,XRP/USDT,0.7624,0.7663,0.762,0.7646,2293876.0
2022-03-10 07:15:00,XRP/USDT,0.7647,0.7654,0.7636,0.7641,1653623.0
2022-03-10 07:30:00,XRP/USDT,0.7639,0.7642,0.7589,0.7596,1595470.0
2022-03-10 07:45:00,XRP/USDT,0.7596,0.7617,0.7582,0.7612,1241933.0
2022-03-10 08:00:00,XRP/USDT,0.7613,0.7644,0.7608,0.7629,1993176.0
2022-03-10 08:15:00,XRP/USDT,0.763,0.7641,0.7625,0.7635,1969770.0
2022-03-10 08:30:00,XRP/USDT,0.7635,0.7669,0.7635,0.7658,3698303.0
2022-03-10 08:45:00,XRP/USDT,0.7658,0.7688,0.7649,0.7658,3828210.0
2022-03-10 09:00:00,XRP/USDT,0.7659,0.7797,0.7633,0.7731,19147249.0
2022-03-10 09:15:00,XRP/USDT,0.773,0.7792,0.7718,0.7743,8283285.0
2022-03-10 09:30:00,XRP/USDT,0.7743,0.7746,0.7685,0.7701,4444620.0
2022-03-10 09:45:00,XRP/USDT,0.7701,0.7713,0.7664,0.7687,3275614.0
2022-03-10 10:00:00,XRP/USDT,0.7687,0.7692,0.7645,0.7688,2713245.0
2022-03-10 10:15:00,XRP/USDT,0.7688,0.7734,0.7683,0.7723,2642420.0
2022-03-10 10:30:00,XRP/USDT,0.7722,0.7727,0.761,0.7638,5550432.0
2022-03-10 10:45:00,XRP/USDT,0.7638,0.7641,0.7573,0.7595,8137164.0
2022-03-10 11:00:00,XRP/USDT,0.7595,0.7614,0.7525,0.7565,7982760.0
2022-03-10 11:15:00,XRP/USDT,0.7564,0.759,0.7552,0.7562,3711627.0
2022-03-10 11:30:00,XRP/USDT,0.7562,0.7598,0.7551,0.7586,2909910.0
2022-03-10 11:45:00,XRP/USDT,0.7586,0.7599,0.755,0.7554,2052898.0
2022-03-10 12:00:00,XRP/USDT,0.7553,0.7584,0.7536,0.7573,3594953.0
2022-03-10 12:15:00,XRP/USDT,0.7573,0.7583,0.7564,0.7568,1971233.0
2022-03-10 12:30:00,XRP/USDT,0.7568,0.7585,0.7557,0.7583,3932258.0
2022-03-10 12:45:00,XRP/USDT,0.7582,0.7605,0.758,0.7582,3414867.0
2022-03-10 13:00:00,XRP/USDT,0.7583,0.7602,0.7561,0.7573,3648879.0
2022-03-10 13:15:00,XRP/USDT,0.7573,0.7582,0.7492,0.7492,8569060.0
2022-03-10 13:30:00,XRP/USDT,0.7491,0.7499,0.7404,0.7433,18488057.0
2022-03-10 13:45:00,XRP/USDT,0.7433,0.7448,0.7381,0.7399,8801813.0
2022-03-10 14:00:00,XRP/USDT,0.7398,0.7398,0.7301,0.7326,11616082.0
2022-03-10 14:15:00,XRP/USDT,0.7327,0.7353,0.7319,0.7337,6302116.0
2022-03-10 14:30:00,XRP/USDT,0.7337,0.7345,0.7322,0.7323,4848012.0
2022-03-10 14:45:00,XRP/USDT,0.7323,0.7356,0.7289,0.733,6587673.0
2022-03-10 15:00:00,XRP/USDT,0.733,0.7362,0.7319,0.7353,3079131.0
2022-03-10 15:15:00,XRP/USDT,0.7354,0.7354,0.7326,0.7343,3008833.0
2022-03-10 15:30:00,XRP/USDT,0.7342,0.7369,0.7342,0.7357,4901321.0
2022-03-10 15:45:00,XRP/USDT,0.7357,0.7421,0.7352,0.7389,8359767.0
2022-03-10 16:00:00,XRP/USDT,0.7388,0.7405,0.7371,0.7382,4959004.0
2022-03-10 16:15:00,XRP/USDT,0.7381,0.7391,0.737,0.7391,2302662.0
2022-03-10 16:30:00,XRP/USDT,0.7391,0.7409,0.7388,0.7398,3091466.0
2022-03-10 16:45:00,XRP/USDT,0.7399,0.7399,0.7371,0.7385,4433057.0
2022-03-10 17:00:00,XRP/USDT,0.7385,0.7385,0.7303,0.7304,6145547.0
2022-03-10 17:15:00,XRP/USDT,0.7304,0.7329,0.7285,0.7314,7047846.0
2022-03-10 17:30:00,XRP/USDT,0.7314,0.7354,0.7311,0.7344,4156649.0
2022-03-10 17:45:00,XRP/USDT,0.7343,0.7356,0.7331,0.7349,2681591.0
2022-03-10 18:00:00,XRP/USDT,0.7349,0.7359,0.7335,0.734,2918171.0
2022-03-10 18:15:00,XRP/USDT,0.734,0.7346,0.7301,0.7315,2509212.0
2022-03-10 18:30:00,XRP/USDT,0.7315,0.7343,0.7301,0.7336,2081400.0
2022-03-10 18:45:00,XRP/USDT,0.7337,0.7349,0.7317,0.7317,3256716.0
2022-03-10 19:00:00,XRP/USDT,0.7317,0.7342,0.7311,0.734,2066926.0
2022-03-10 19:15:00,XRP/USDT,0.734,0.7366,0.7333,0.7361,3641785.0
2022-03-10 19:30:00,XRP/USDT,0.7361,0.7361,0.7328,0.7341,2779563.0
2022-03-10 19:45:00,XRP/USDT,0.7341,0.7341,0.7313,0.7322,2722464.0
2022-03-10 20:00:00,XRP/USDT,0.7322,0.7341,0.7302,0.7336,2763162.0
2022-03-10 20:15:00,XRP/USDT,0.7337,0.7343,0.7317,0.7325,1852392.0
2022-03-10 20:30:00,XRP/USDT,0.7325,0.7338,0.732,0.7333,1486740.0
2022-03-10 20:45:00,XRP/USDT,0.7333,0.7343,0.733,0.7333,1339671.0
2022-03-10 21:00:00,XRP/USDT,0.7334,0.7336,0.7314,0.7334,1965154.0
2022-03-10 21:15:00,XRP/USDT,0.7334,0.7368,0.7332,0.7361,2262752.0
2022-03-10 21:30:00,XRP/USDT,0.7361,0.737,0.7339,0.7342,2479000.0
2022-03-10 21:45:00,XRP/USDT,0.7342,0.7377,0.7339,0.7363,3043032.0
2022-03-10 22:00:00,XRP/USDT,0.7364,0.7372,0.7345,0.7346,2298971.0
2022-03-10 22:15:00,XRP/USDT,0.7345,0.7349,0.7326,0.7341,3553644.0
2022-03-10 22:30:00,XRP/USDT,0.7341,0.7448,0.7215,0.7227,24136028.0
2022-03-10 22:45:00,XRP/USDT,0.7228,0.7312,0.7224,0.7278,13149805.0
2022-03-10 23:00:00,XRP/USDT,0.7278,0.7304,0.7234,0.7278,7897038.0
2022-03-10 23:15:00,XRP/USDT,0.7277,0.7297,0.726,0.7283,4919954.0
2022-03-10 23:30:00,XRP/USDT,0.7284,0.7294,0.7236,0.7279,6382653.0
2022-03-10 23:45:00,XRP/USDT,0.728,0.7309,0.7274,0.7301,4003936.0
2022-03-11 00:00:00,XRP/USDT,0.7302,0.7321,0.7284,0.7305,4038041.0
2022-03-11 00:15:00,XRP/USDT,0.7305,0.7346,0.7303,0.7303,7164471.0
2022-03-11 00:30:00,XRP/USDT,0.7303,0.7313,0.7276,0.73,2393203.0
2022-03-11 00:45:00,XRP/USDT,0.73,0.7333,0.7277,0.7284,6610252.0
2022-03-11 01:00:00,XRP/USDT,0.7283,0.7307,0.727,0.7296,3871985.0
2022-03-11 01:15:00,XRP/USDT,0.7297,0.7308,0.7276,0.7289,2918513.0
2022-03-11 01:30:00,XRP/USDT,0.729,0.73,0.7272,0.7288,2553540.0
2022-03-11 01:45:00,XRP/USDT,0.7287,0.7308,0.7266,0.7302,2258080.0
2022-03-11 02:00:00,XRP/USDT,0.7302,0.7303,0.7282,0.7293,1772320.0
2022-03-11 02:15:00,XRP/USDT,0.7293,0.7325,0.7289,0.7323,1965983.0
2022-03-11 02:30:00,XRP/USDT,0.7323,0.7326,0.7285,0.7312,1961435.0
2022-03-11 02:45:00,XRP/USDT,0.7312,0.7315,0.7274,0.7297,1977674.0
2022-03-11 03:00:00,XRP/USDT,0.7296,0.7305,0.7282,0.729,1744211.0
2022-03-11 03:15:00,XRP/USDT,0.729,0.7304,0.7281,0.7289,2203370.0
2022-03-11 03:30:00,XRP/USDT,0.7289,0.7312,0.7288,0.7306,1311225.0
2022-03-11 03:45:00,XRP/USDT,0.7305,0.7322,0.7305,0.7315,1417188.0
2022-03-11 04:00:00,XRP/USDT,0.7316,0.7343,0.7307,0.7328,1887528.0
2022-03-11 04:15:00,XRP/USDT,0.7329,0.738,0.7327,0.7339,3268389.0
2022-03-11 04:30:00,XRP/USDT,0.7338,0.7354,0.7329,0.7344,1657975.0
2022-03-11 04:45:00,XRP/USDT,0.7344,0.7398,0.7344,0.7387,3414515.0
2022-03-11 05:00:00,XRP/USDT,0.7386,0.7389,0.7357,0.7382,1303621.0
2022-03-11 05:15:00,XRP/USDT,0.7382,0.741,0.7362,0.7378,3176144.0
2022-03-11 05:30:00,XRP/USDT,0.7379,0.7422,0.7376,0.7415,3156209.0
2022-03-11 05:45:00,XRP/USDT,0.7415,0.7449,0.7411,0.7436,2242440.0
2022-03-11 06:00:00,XRP/USDT,0.7437,0.744,0.7401,0.7415,2762570.0
2022-03-11 06:15:00,XRP/USDT,0.7415,0.7425,0.7392,0.7394,1665534.0
2022-03-11 06:30:00,XRP/USDT,0.7395,0.7411,0.7387,0.7388,1147711.0
2022-03-11 06:45:00,XRP/USDT,0.7387,0.7404,0.7378,0.7384,1544334.0
2022-03-11 07:00:00,XRP/USDT,0.7383,0.7386,0.7351,0.7369,2005733.0
2022-03-11 07:15:00,XRP/USDT,0.7369,0.7395,0.7368,0.7393,1048847.0
2022-03-11 07:30:00,XRP/USDT,0.7393,0.7416,0.7392,0.7408,906644.0
2022-03-11 07:45:00,XRP/USDT,0.7408,0.7425,0.7389,0.7413,1370935.0
2022-03-11 08:00:00,XRP/USDT,0.7414,0.7427,0.7395,0.7412,2040411.0
2022-03-11 08:15:00,XRP/USDT,0.7412,0.7418,0.7384,0.7406,1243257.0
2022-03-11 08:30:00,XRP/USDT,0.7407,0.7416,0.7359,0.7361,1930242.0
2022-03-11 08:45:00,XRP/USDT,0.7362,0.7375,0.7346,0.7361,1613098.0
2022-03-11 09:00:00,XRP/USDT,0.7361,0.7396,0.7332,0.7373,4252341.0
2022-03-11 09:15:00,XRP/USDT,0.7372,0.7383,0.7342,0.7346,2043142.0
2022-03-11 09:30:00,XRP/USDT,0.7346,0.7376,0.7318,0.7346,3239237.0
2022-03-11 09:45:00,XRP/USDT,0.7346,0.7378,0.7345,0.7358,1217686.0
2022-03-11 10:00:00,XRP/USDT,0.7358,0.7363,0.7303,0.7325,3987285.0
2022-03-11 10:15:00,XRP/USDT,0.7325,0.7335,0.7286,0.7293,4182503.0
2022-03-11 10:30:00,XRP/USDT,0.7292,0.7323,0.7285,0.7323,2968550.0
2022-03-11 10:45:00,XRP/USDT,0.7323,0.7327,0.7293,0.7327,3894986.0
2022-03-11 11:00:00,XRP/USDT,0.7328,0.7337,0.7267,0.7282,5341097.0
2022-03-11 11:15:00,XRP/USDT,0.7282,0.7317,0.7279,0.7307,3518441.0
2022-03-11 11:30:00,XRP/USDT,0.7307,0.7335,0.7295,0.7322,3545276.0
2022-03-11 11:45:00,XRP/USDT,0.7323,0.7348,0.7301,0.7347,3991296.0
2022-03-11 12:00:00,XRP/USDT,0.7347,0.7414,0.7341,0.7373,5499042.0
2022-03-11 12:15:00,XRP/USDT,0.7373,0.7387,0.7356,0.7382,3797754.0
2022-03-11 12:30:00,XRP/USDT,0.7381,0.7393,0.7351,0.7357,4786723.0
2022-03-11 12:45:00,XRP/USDT,0.7356,0.7401,0.7356,0.7387,2907771.0
2022-03-11 13:00:00,XRP/USDT,0.7386,0.739,0.7367,0.7371,1976431.0
2022-03-11 13:15:00,XRP/USDT,0.7371,0.7376,0.7349,0.7357,1878569.0
