datetime,market,open,high,low,close,vol
2022-03-07 23:00:00,XRP/USDT,0.74942,0.75238,0.74097,0.74129,1762840.7207822336
2022-03-08 00:00:00,XRP/USDT,0.74121,0.74652,0.73848,0.74623,1490488.4619271357
2022-03-08 01:00:00,XRP/USDT,0.74611,0.75066,0.73922,0.7397,1462762.5069002667
2022-03-08 02:00:00,XRP/USDT,0.73959,0.74069,0.73477,0.73624,1239057.7637958832
2022-03-08 03:00:00,XRP/USDT,0.7359,0.7359,0.72176,0.72617,2350236.5042423853
2022-03-08 04:00:00,XRP/USDT,0.72614,0.73,0.71105,0.71162,2069328.5513735476
2022-03-08 05:00:00,XRP/USDT,0.71143,0.71746,0.70339,0.71626,1966589.746370559
2022-03-08 06:00:00,XRP/USDT,0.71623,0.72403,0.71329,0.71995,1293865.074249352
2022-03-08 07:00:00,XRP/USDT,0.71956,0.72816,0.71941,0.72352,1217574.2190945374
2022-03-08 08:00:00,XRP/USDT,0.72351,0.73054,0.71974,0.71974,873167.2870000859
2022-03-08 09:00:00,XRP/USDT,0.71971,0.72693,0.71628,0.72394,817702.9745146183
2022-03-08 10:00:00,XRP/USDT,0.72329,0.72708,0.71897,0.72279,1148564.0233546952
2022-03-08 11:00:00,XRP/USDT,0.72299,0.73047,0.72053,0.72551,1247988.7549578592
2022-03-08 12:00:00,XRP/USDT,0.72546,0.72829,0.72406,0.72792,549809.22972832
2022-03-08 13:00:00,XRP/USDT,0.72822,0.72969,0.72501,0.72607,602015.2008138017
2022-03-08 14:00:00,XRP/USDT,0.72608,0.72726,0.7198,0.72156,1731905.7701197937
2022-03-08 15:00:00,XRP/USDT,0.72166,0.72347,0.71341,0.71861,1568154.324425776
2022-03-08 16:00:00,XRP/USDT,0.71831,0.72602,0.71716,0.72323,1176091.2188970188
2022-03-08 17:00:00,XRP/USDT,0.72324,0.72934,0.72108,0.72438,1274332.236944122
2022-03-08 18:00:00,XRP/USDT,0.72422,0.72848,0.72346,0.72784,1452366.155476018
2022-03-08 19:00:00,XRP/USDT,0.72783,0.73126,0.72209,0.72834,1497508.6910607417
2022-03-08 20:00:00,XRP/USDT,0.72812,0.7291,0.72258,0.72657,979687.216507321
2022-03-08 21:00:00,XRP/USDT,0.72686,0.72963,0.72305,0.72506,1517468.1569472621
2022-03-08 22:00:00,XRP/USDT,0.72533,0.72759,0.72,0.72437,1080529.16500239
2022-03-08 23:00:00,XRP/USDT,0.72433,0.72653,0.71921,0.72202,1378663.7084782708
2022-03-09 00:00:00,XRP/USDT,0.72175,0.72396,0.71685,0.72275,1846645.1008131981
2022-03-09 01:00:00,XRP/USDT,0.72295,0.72532,0.71381,0.71534,1744216.3806207813
2022-03-09 02:00:00,XRP/USDT,0.71518,0.72492,0.7147,0.72354,1801826.579874972
2022-03-09 03:00:00,XRP/USDT,0.72363,0.72835,0.72094,0.72239,1378029.3047777577
2022-03-09 04:00:00,XRP/USDT,0.72204,0.72493,0.71873,0.72398,843452.6713136289
2022-03-09 05:00:00,XRP/USDT,0.72386,0.72552,0.71581,0.71743,929461.9786006539
2022-03-09 06:00:00,XRP/USDT,0.71726,0.7193,0.7161,0.71837,722768.7475792409
2022-03-09 07:00:00,XRP/USDT,0.71829,0.72005,0.71741,0.71892,484340.7520256297
2022-03-09 08:00:00,XRP/USDT,0.71893,0.72352,0.71812,0.72075,698482.0319525438
2022-03-09 09:00:00,XRP/USDT,0.72089,0.72734,0.71993,0.72722,1707811.8916604256
2022-03-09 10:00:00,XRP/USDT,0.72736,0.72966,0.72539,0.72808,758938.5013104565
2022-03-09 11:00:00,XRP/USDT,0.72831,0.73107,0.72678,0.72784,733724.7459179058
2022-03-09 12:00:00,XRP/USDT,0.72777,0.751,0.72761,0.74373,2455850.321096384
2022-03-09 13:00:00,XRP/USDT,0.74478,0.74937,0.74208,0.74809,1393648.0291058715
