,order,date,market,evaluated_market_balance,price,vol,fee,market_cash_bal,cash_bal,profit,evaluated_balance,desc
0,SETT,2018-10-01T01:59:00,SETT,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,10000000.0,"d_type:HOUR, tais:['ma3_1h', 'ma5_1h', 'ma10_1h', 'ma20_1h', 'ma60_1h', 'ma120_1h', 'ma3_4h', 'ma5_4h', 'ma10_4h', 'ma20_4h', 'ma60_4h', 'ma120_4h', 'ma3', 'ma5', 'ma10', 'ma20', 'ma60', 'ma120', 'ema3_1h', 'ema5_1h', 'ema10_1h', 'ema20_1h', 'ema60_1h', 'ema120_1h', 'ema3_4h', 'ema5_4h', 'ema10_4h', 'ema20_4h', 'ema60_4h', 'ema120_4h', 'ema3', 'ema5', 'ema10', 'ema20', 'ema60', 'ema120', 'trb10_1h', 'trb20_1h', 'trb30_1h', 'trb40_1h', 'trb50_1h', 'trb10_4h', 'trb20_4h', 'trb30_4h', 'trb40_4h', 'trb50_4h', 'trb10', 'trb20', 'trb30', 'trb40', 'trb50', 'macd_1h', 'macd_4h', 'macd', 'macd_s_1h', 'macd_s_4h', 'macd_s', 'rsi14_1h', 'rsi28_1h', 'rsi42_1h', 'rsi14_4h', 'rsi28_4h', 'rsi42_4h', 'rsi14', 'rsi28', 'rsi42', 'plus_di_14', 'plus_di_14_1h', 'plus_di_14_4h', 'plus_di_28', 'plus_di_28_1h', 'plus_di_28_4h', 'plus_di_42', 'plus_di_42_1h', 'plus_di_42_4h', 'minus_di_14', 'minus_di_14_1h', 'minus_di_14_4h', 'minus_di_28', 'minus_di_28_1h', 'minus_di_28_4h', 'minus_di_42', 'minus_di_42_1h', 'minus_di_42_4h']"
1,BUY,2018-10-01T04:59:00,KRW-ETH,3952079.0095047522,260050.0,15.197381309381859,7905.146533019184,15.84396222839132,6040015.843962228,0.0,9992094.85346698,plus_di(22.3459) > minus_di(18.2286)
2,SETT,2018-10-01T04:59:00,SETT,0.0,0.0,0.0,0.0,0.0,6040015.843962228,-15810.293066039681,9984189.70693396,"(KRW-ETH:3,952,079(=260050.0x15.197))"
3,SETT,2018-10-01T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,6040015.843962228,-5308.4439609292895,9978881.262973031,"(KRW-ETH:3,946,759(=259700.0x15.197))"
4,SETT,2018-10-01T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,6040015.843962228,2275.0474118273705,9981156.310384858,"(KRW-ETH:3,949,039(=259850.0x15.197))"
5,SETT,2018-10-01T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,6040015.843962228,-34884.060314690694,9946272.250070168,"(KRW-ETH:3,914,085(=257550.0x15.197))"
6,SETT,2018-10-01T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,6040015.843962228,-23508.823255550116,9922763.426814618,"(KRW-ETH:3,890,529(=256000.0x15.197))"
7,SELL,2018-10-02T00:59:00,KRW-ETH,3846221.491040073,254100.0,15.166982745517144,7708.824595833293,6238067.765249115,9886237.335002301,-105857.51846467936,9809197.083754105,plus_di(20.4487) < minus_di(21.1344)
8,SETT,2018-10-02T00:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9886237.335002301,-36510.67223495431,9886252.754579663,(KRW-ETH:15(=254100.0x0.000))
9,SETT,2018-10-02T04:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9886237.335002301,0.13653698936104774,9886252.891116653,(KRW-ETH:15(=256350.0x0.000))
10,SETT,2018-10-02T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9886237.335002301,0.10316128097474575,9886252.994277934,(KRW-ETH:15(=258050.0x0.000))
11,BUY,2018-10-02T12:59:00,KRW-ETH,6225590.069421527,257700.0,24.158285096707516,12452.737314948932,24.95851263962686,3648194.5282658255,0.0,9873800.256962985,plus_di(20.366) > minus_di(20.3504)
12,SETT,2018-10-02T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,3648194.5282658245,-24905.495868986472,9861347.498408947,"(KRW-ETH:6,225,605(=257700.0x24.158))"
14,SETT,2018-10-02T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-22027.727429825813,9839319.770979121,(KRW-ETH:40(=257300.0x0.000))
13,SELL,2018-10-02T16:59:00,KRW-ETH,6191084.808769623,257300.0,24.10996248392153,12408.538343387849,7635769.841962889,9839279.337035447,-34505.26065190416,9814433.699413653,plus_di(20.2009) < minus_di(20.2074)
15,SETT,2018-10-02T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.2514353282749653,9839319.519543793,(KRW-ETH:40(=255700.0x0.000))
16,SETT,2018-10-03T00:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,0.039286769926548004,9839319.558830563,(KRW-ETH:40(=255950.0x0.000))
17,SETT,2018-10-03T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.22000591084361076,9839319.338824652,(KRW-ETH:40(=254550.0x0.000))
18,SETT,2018-10-03T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-1.0450280830264091,9839318.29379657,(KRW-ETH:39(=247900.0x0.000))
19,SETT,2018-10-03T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.06285883113741875,9839318.230937738,(KRW-ETH:38(=247500.0x0.000))
20,SETT,2018-10-03T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,0.2671500351279974,9839318.498087773,(KRW-ETH:39(=249200.0x0.000))
21,SETT,2018-10-04T04:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.023572061210870743,9839318.474515712,(KRW-ETH:39(=249050.0x0.000))
22,SETT,2018-10-04T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,0.19643384963274002,9839318.670949562,(KRW-ETH:39(=250300.0x0.000))
23,SETT,2018-10-04T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,0.6678750906139612,9839319.338824652,(KRW-ETH:40(=254550.0x0.000))
24,SETT,2018-10-04T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.3142941612750292,9839319.02453049,(KRW-ETH:39(=252550.0x0.000))
25,SETT,2018-10-04T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.047144124284386635,9839318.977386367,(KRW-ETH:39(=252250.0x0.000))
26,SETT,2018-10-05T00:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,0.2750073913484812,9839319.252393758,(KRW-ETH:39(=254000.0x0.000))
27,SETT,2018-10-05T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.2200059127062559,9839319.032387845,(KRW-ETH:39(=252600.0x0.000))
28,SETT,2018-10-05T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.3300088681280613,9839318.702378977,(KRW-ETH:39(=250500.0x0.000))
29,SETT,2018-10-05T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.055001476779580116,9839318.6473775,(KRW-ETH:39(=250150.0x0.000))
30,SETT,2018-10-05T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,0.5500147789716721,9839319.19739228,(KRW-ETH:39(=253650.0x0.000))
31,SETT,2018-10-06T00:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,0.031429415568709373,9839319.228821695,(KRW-ETH:39(=253850.0x0.000))
32,SETT,2018-10-06T04:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9839279.337035447,-0.08643089421093464,9839319.1423908,(KRW-ETH:39(=253300.0x0.000))
33,BUY,2018-10-06T08:59:00,KRW-ETH,7620496.392381554,257900.0,29.548260536570584,15242.898861900347,30.550719435326755,2203540.045791994,0.0,9824076.2435289,plus_di(20.7317) > minus_di(20.1224)
34,SETT,2018-10-06T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,2203540.045791993,-30485.07484723255,9808834.067543568,"(KRW-ETH:7,620,537(=257900.0x29.548))"
35,SETT,2018-10-06T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,2203540.045791993,-36861.6422147695,9771972.425328799,"(KRW-ETH:7,583,601(=256650.0x29.548))"
36,SETT,2018-10-06T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,2203540.045791993,26540.382394634187,9798512.807723433,"(KRW-ETH:7,610,195(=257550.0x29.548))"
37,SELL,2018-10-06T20:59:00,KRW-ETH,7525294.708209986,255700.0,29.48915662473693,15082.64073524695,8397896.566343615,9728834.754001979,-95201.68417156767,9688228.482816618,plus_di(19.9784) < minus_di(20.3258)
38,SETT,2018-10-06T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,-69607.70215909183,9728905.105564341,(KRW-ETH:70(=255700.0x0.000))
39,SETT,2018-10-07T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,-0.027513321489095688,9728905.07805102,(KRW-ETH:70(=255600.0x0.000))
40,SETT,2018-10-07T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,0.08253996260464191,9728905.160590982,(KRW-ETH:70(=255900.0x0.000))
41,SETT,2018-10-07T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,-0.577779745683074,9728904.582811236,(KRW-ETH:69(=253800.0x0.000))
42,SETT,2018-10-07T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,-0.2476198896765709,9728904.335191347,(KRW-ETH:69(=252900.0x0.000))
43,SETT,2018-10-08T00:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,0.19259324856102467,9728904.527784595,(KRW-ETH:69(=253600.0x0.000))
44,SETT,2018-10-08T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,0.7841296549886465,9728905.31191425,(KRW-ETH:70(=256450.0x0.000))
45,SETT,2018-10-08T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,-0.34391651675105095,9728904.967997734,(KRW-ETH:70(=255200.0x0.000))
46,SETT,2018-10-08T16:59:00,SETT,0.0,0.0,0.0,0.0,0.0,9728834.754001979,-0.19259324856102467,9728904.775404485,(KRW-ETH:70(=254500.0x0.000))
47,BUY,2018-10-08T20:59:00,KRW-ETH,8381098.672686525,256450.0,32.6812192344961,16764.29366820327,33.59998888708651,1330971.787647251,0.0,9712140.481736282,plus_di(20.8496) > minus_di(20.4779)
48,SETT,2018-10-08T20:59:00,SETT,0.0,0.0,0.0,0.0,0.0,1330971.787647251,-33528.05082664266,9695376.724577842,"(KRW-ETH:8,381,169(=256450.0x32.681))"
49,SETT,2018-10-09T00:59:00,SETT,0.0,0.0,0.0,0.0,0.0,1330971.787647251,122310.4640806783,9817687.18865852,"(KRW-ETH:8,503,724(=260200.0x32.681))"
50,SETT,2018-10-09T04:59:00,SETT,0.0,0.0,0.0,0.0,0.0,1330971.787647251,40770.15469355881,9858457.34335208,"(KRW-ETH:8,544,576(=261450.0x32.681))"
51,SETT,2018-10-09T08:59:00,SETT,0.0,0.0,0.0,0.0,0.0,1330971.787647251,-42400.96088130213,9816056.382470777,"(KRW-ETH:8,502,090(=260150.0x32.681))"
52,SETT,2018-10-09T12:59:00,SETT,0.0,0.0,0.0,0.0,0.0,1330971.787647251,-19569.674252908677,9796486.708217869,"(KRW-ETH:8,482,482(=259550.0x32.681))"
